rxn_id	rxn_name	subsystem	selected_subs	KEGG_id	EC	rule	genes_hsa_ncbi	genes_hsa_symbol	genes_mmu_symbol	genes_mmu_synonym
13DAMPPOX	1,3-Diaminopropane:oxygen oxidoreductase (deaminating)	beta-Alanine metabolism	0	NA	1.4.3.6	(x(1)) | (x(2)) | (x(3)) | (x(4))	8639, 26, 314, 314	AOC3, AOC1, AOC2, AOC2	AOC3, AOC1, AOC2, AOC2	NA
24_25VITD2Hm	24R-Vitamin D-25-hydroxylase (D2)	Vitamin D metabolism	0	NA	NA	(x(5))	1591	CYP24A1	CYP24A1	CP24, Cyp24, 25-hydroxyvitamin D-24-hydroxylase, 24-OHase
24_25VITD3Hm	24R-Vitamin D-25-hydroxylase (D3)	Vitamin D metabolism	0	NA	NA	(x(5))	1591	CYP24A1	CYP24A1	CP24, Cyp24, 25-hydroxyvitamin D-24-hydroxylase, 24-OHase
25HVITD3tin	25-hydroxyvitamin D3 transport in cytoplasm	Transport, extracellular	0	NA	NA	(x(6)) & (x(7)) & (x(8))	2638, 4036, 8029	NA	NA	NA
25VITD2Hm	1-alpha-Vitamin D-25-hydroxylase (D2)	Vitamin D metabolism	0	NA	NA	(x(9))	1594	CYP27B1	CYP27B1	VddrI, P450c1, Cyp27b, Vddr, Vdd1, Pddr, Cyp1, Cp2b, Cyp40, 25(OH)D 1alpha-hydroxylase, 1alpha(OH)ase, P450VD1alpha, 25-hydroxyvitamin D3 1alpha-hydroxylase
25VITD3Hm	1-alpha-Vitamin D-25-hydroxylase (D3)	Vitamin D metabolism	0	NA	NA	(x(9))	1594	CYP27B1	CYP27B1	VddrI, P450c1, Cyp27b, Vddr, Vdd1, Pddr, Cyp1, Cp2b, Cyp40, 25(OH)D 1alpha-hydroxylase, 1alpha(OH)ase, P450VD1alpha, 25-hydroxyvitamin D3 1alpha-hydroxylase
2AMACHYD	2-Aminoacrylate hydrolysis	Glycine, serine, alanine and threonine metabolism	1	NA	NA	(x(10))	10993	SDS	SDS	SDH
2AMACSULT	2-Aminoacrylate sulfotransferase	Methionine and cysteine metabolism	1	NA	NA	(x(11))	6818	NA	NA	NA
2AMADPTm	L-2-aminoadipate shuttle (cytosol/mitochondria)	Lysine metabolism	1	NA	NA	(x(12))	89874	SLC25A21	SLC25A21	9930033G19Rik
2HBO	2-Hydroxybutyrate:NAD+ oxidoreductase	Propanoate metabolism	1	NA	1.1.1.27	(x(13)) | (x(14)) | (x(15)) | (x(16) & x(17)) | (x(17)) | (x(18)) | (x(16)) | (x(19))	92483, 3948, 55293, 3945, 3939, 3939, 160287, 3945, 3948	NA	NA	NA
2HBt2	2-hydroxybutyrate cotransport with proton	Transport, extracellular	0	NA	NA	(x(20)) | (x(21)) | (x(22))	9123, 9194, 6566	SLC16A3, SLC16A7, SLC16A1	SLC16A3, SLC16A7, SLC16A1	MCT3, monocarboxylate transporter 4, MCT4, 4921534N07Rik, MCT2, MCT1
2HCO3_NAt	bicarbonate transport (Na/HCO3 1:2 cotransport)	Transport, extracellular	0	NA	NA	(x(23)) | (x(24)) | (x(25)) | (x(26)) | (x(27))	57835, 8671, 57835, 57835, 57835	SLC4A5, SLC4A4, SLC4A5, SLC4A5, SLC4A5	SLC4A5, SLC4A4, SLC4A5, SLC4A5, SLC4A5	C330016K18Rik, NBC1, NBC, C330016K18Rik, C330016K18Rik, C330016K18Rik
2OXOADOXm	2-Oxoadipate:lipoamde 2-oxidoreductase(decarboxylating and acceptor-succinylating) (mitochondria)	Lysine metabolism	1	NA	2.3.1.61	(x(28)) & (x(29) & x(30)) & (x(31)) | (x(32)) & (x(29) & x(30)) & (x(31))	4967, 1738, 8050, 1743, 4967, 1738, 8050, 1743	OGDH, DLD, PDHX, DLST, OGDH, DLD, PDHX, DLST	OGDH, DLD, PDHX, DLST, OGDH, DLD, PDHX, DLST	d1401, 2210403E04Rik, 2210412K19Rik, alpha-ketoglutarate dehydrogenase, dihydrolipoyl dehydrogenase, branched chain alpha-keto acid dehydrogenase complex subunit E3, Pdx1, 4632413C10Rik, 1600017E01Rik, 4930529O08Rik, d1401, 2210403E04Rik, 2210412K19Rik, alpha-ketoglutarate dehydrogenase, dihydrolipoyl dehydrogenase, branched chain alpha-keto acid dehydrogenase complex subunit E3, Pdx1, 4632413C10Rik, 1600017E01Rik, 4930529O08Rik
2OXOADPTm	2-oxoadipate shuttle (cytosol/mitochondria)	Tryptophan metabolism	1	NA	NA	x(12)	89874	SLC25A21	SLC25A21	9930033G19Rik
34DHOXPEGOX	3,4-Dihydroxyphenylethyleneglycol:NAD+ oxidoreductase	Tyrosine metabolism	1	NA	1.1.1.1	(x(33)) | (x(34)) | (x(35) & x(36)) | (x(37)) | (x(38) & x(36)) | (x(39)) | (x(40)) | (x(35) & x(38))	130, 127, 125, 124, 131, 126, 124, 128, 137872, 125, 126	NA	NA	NA
34DHPHAMT	3,4-Dihydroxyphenylacetate:amet O-methyltransferase	Tyrosine metabolism	1	NA	2.1.1.6	(x(41)) | (x(42))	1312, 1312	COMT, COMT	COMT, COMT	Comt1, D330014B15Rik, D16Wsu103e, Comt1, D330014B15Rik, D16Wsu103e
34DHPHEt	3,4-Dihydroxy-L-phenylalanine transport	Transport, extracellular	0	NA	NA	(x(43))	117247	SLC16A10	SLC16A10	Mct10, PRO0813, TAT1, 2610103N14Rik
34DHPLACOX	3,4-Dihydroxyphenylacetaldehyde:NAD+ oxidoreductase	Tyrosine metabolism	1	NA	1.2.1.5	(x(44)) | (x(45)) | (x(46)) | (x(47))	218, 222, 220, 221	NA	NA	NA
34DHPLACOX_NADP_	3,4-Dihydroxyphenylacetaldehyde:NADP+ oxidoreductase	Tyrosine metabolism	1	NA	1.2.1.5	(x(45)) | (x(47)) | (x(44))	222, 221, 218	NA	NA	NA
34DHXMANDACOX	3,4-Dihydroxymandelaldehyde:NAD+ oxidoreductase	Tyrosine metabolism	1	NA	1.2.1.5	(x(47)) | (x(44)) | (x(46))	221, 218, 220	ALDH3B1, ALDH3A1, ALDH1A3	ALDH3B1, ALDH3A1, ALDH1A3	ALDH7, ALDH4, 1700001N19Rik, Aldh, Aldh3, Ahd4, Ahd-4, ALDH6, V1, retinaldehyde dehydrogenase 3, RALDH3
34DHXMANDACOX_NADP_	3,4-Dihydroxymandelaldehyde:NADP+ oxidoreductase	Tyrosine metabolism	1	NA	1.2.1.5	(x(47)) | (x(45))	221, 222	NA	NA	NA
34HPPOR	4-Hydroxyphenylpyruvate:oxygen oxidoreductase	Tyrosine metabolism	1	NA	1.13.11.27	x(48)	3242	HPD	HPD	Fla, Hppd, Laf, Flp
3AIBTm	L-3-aminoisobutyrate transaminase, mitochondrial	Valine, leucine, and isoleucine metabolism	1	NA	2.6.19.4	(x(49)) | (x(50))	18, 18	ABAT, ABAT	ABAT, ABAT	GABA-T, 9630038C02Rik, GABA-T, 9630038C02Rik
3AIBtm	3-amino-isobutyrate transport, mitochondrial	Transport, mitochondrial	0	NA	NA	(x(49)) | (x(50))	18, 18	ABAT, ABAT	ABAT, ABAT	GABA-T, 9630038C02Rik, GABA-T, 9630038C02Rik
3DSPHR	3-Dehydrosphinganine reductase	Sphingolipid metabolism	1	NA	1.1.1.102	x(51)	2531	KDSR	KDSR	Fvt1, 9430079B08Rik, 6330410P18Rik
3HAO	3-hydroxyanthranilate 3,4-dioxygenase	Tryptophan metabolism	1	NA	1.13.11.6	x(52)	23498	HAAO	HAAO	3HAO, 3-HAOxase, 3-HAO, 0610007K21Rik, 0610012J07Rik
3HBCDm	3-hydroxybutyryl-CoA dehydratase, mitochondrial	Butanoate metabolism	1	NA	4.2.1.55	(x(53))	55268	ECHDC2	ECHDC2	2610009M20Rik, 1300017C12Rik
